Eloquence Software Synthesizer Voice profile,,,,
Unique Identifier,Aliases,Range,Default,Definition
,esn-JAWSCursor.Pitch,"range(1,100)",58,
,esn-JAWSCursor.Volume,"range(0,100)",100,
,esn-JAWSCursor.Punctuation,"range(0,3)",2,
,esn-JAWSCursor.SpellRateDelta,Integer,-20,
,esn-JAWSCursor.UpperCasePitchDelta,Integer,20,
,esn-JAWSCursor.Parent,text,Global,
,esn-JAWSCursor.VoiceName,text,Glen,
,esn-JAWSCursor.SynthLangString,text,Castilian Spanish,
,esn-Keyboard.DisplayName,text,Keyboard,
,esn-Keyboard.Rate,"range(40,150)",57,
,esn-Keyboard.Pitch,"range(1,100)",65,
,esn-Keyboard.Volume,"range(0,100)",100,
,esn-Keyboard.Punctuation,"range(0,3)",2,
,esn-Keyboard.SpellRateDelta,Integer,-20,
,esn-Keyboard.UpperCasePitchDelta,Integer,20,
,esn-Keyboard.Parent,text,Global,
,esn-Keyboard.VoiceName,text,Reed,
,esn-Keyboard.SynthLangString,text,Castilian Spanish,
,esn-MenuAndDialog.DisplayName,text,Menu and Dialog,
,esn-MenuAndDialog.Rate,"range(40,150)",57,
,esn-MenuAndDialog.Pitch,"range(1,100)",65,
,esn-MenuAndDialog.Volume,"range(0,100)",100,
,esn-MenuAndDialog.Punctuation,"range(0,3)",2,
,esn-MenuAndDialog.SpellRateDelta,Integer,-20,
,esn-MenuAndDialog.UpperCasePitchDelta,Integer,20,
,esn-MenuAndDialog.Parent,text,Global,
,esn-MenuAndDialog.VoiceName,text,Reed,
,esn-MenuAndDialog.SynthLangString,text,Castilian Spanish,
,esn-Message.DisplayName,text,Message,
,esn-Message.Rate,"range(40,150)",57,
,esn-Message.Pitch,"range(1,100)",60,
,esn-Message.Volume,"range(0,100)",100,
,esn-Message.Punctuation,"range(0,3)",0,
,esn-Message.SpellRateDelta,Integer,-20,
,esn-Message.UpperCasePitchDelta,Integer,20,
,esn-Message.Parent,text,Global,
,esn-Message.VoiceName,text,Reed,
,esn-Message.SynthLangString,text,Castilian Spanish,
,esn-PCCursor.DisplayName,text,PC Cursor,
,esn-PCCursor.Rate,"range(40,150)",57,
,esn-PCCursor.Pitch,"range(1,100)",65,
,esn-PCCursor.Volume,"range(0,100)",100,
,esn-PCCursor.Punctuation,"range(0,3)",2,
